REGIAO,UF,DEPENDENCIA_ADM,LOUSA_DIGITAL,COMP_MESA,COMP_PORTATIL,TABLET,MATRICULAS,TOTAL_EQUIPAMENTOS,TIPO_ESCOLA,EQP_POR_ALUNO
Norte,RO,2,0.0,0,1,0,4,1.0,Pública,0.25
Norte,RO,2,1.0,19,4,0,131,24.0,Pública,0.183206106870229
Norte,RO,3,0.0,0,0,0,169,0.0,Pública,0.0
Norte,RO,2,0.0,19,0,0,598,19.0,Pública,0.03177257525083612
Norte,RO,3,0.0,0,0,0,57,0.0,Pública,0.0
Norte,RO,2,1.0,25,0,0,367,26.0,Pública,0.07084468664850137
Norte,RO,3,0.0,0,0,0,20,0.0,Pública,0.0
Norte,RO,3,0.0,0,1,0,238,1.0,Pública,0.004201680672268907
Norte,RO,3,0.0,0,1,0,150,1.0,Pública,0.006666666666666667
Norte,RO,2,0.0,25,4,0,229,29.0,Pública,0.12663755458515283
Norte,RO,2,0.0,26,0,2,740,28.0,Pública,0.03783783783783784
Norte,RO,3,0.0,0,0,0,451,0.0,Pública,0.0
Norte,RO,2,0.0,0,0,0,68,0.0,Pública,0.0
Norte,RO,2,0.0,0,0,0,5,0.0,Pública,0.0
Norte,RO,2,0.0,0,0,0,84,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,126,0.0,Pública,0.0
Norte,RO,2,0.0,0,0,0,3,0.0,Pública,0.0
Norte,RO,2,0.0,0,0,0,4,0.0,Pública,0.0
Norte,RO,2,0.0,0,0,0,100,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,296,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,427,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,280,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,111,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,96,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,129,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,92,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,96,0.0,Pública,0.0
Norte,RO,2,0.0,19,4,0,570,23.0,Pública,0.04035087719298246
Norte,RO,4,1.0,6,0,0,497,7.0,Privada,0.014084507042253521
Norte,RO,2,0.0,25,21,0,1457,46.0,Pública,0.031571722717913524
Norte,RO,2,1.0,25,3,3,635,32.0,Pública,0.050393700787401574
Norte,RO,3,1.0,24,2,0,382,27.0,Pública,0.07068062827225131
Norte,RO,2,1.0,21,0,0,1365,22.0,Pública,0.01611721611721612
Norte,RO,3,1.0,18,5,0,207,24.0,Pública,0.11594202898550725
Norte,RO,4,0.0,0,2,0,309,2.0,Privada,0.006472491909385114
Norte,RO,3,1.0,15,2,0,509,18.0,Pública,0.03536345776031434
Norte,RO,2,0.0,16,0,0,808,16.0,Pública,0.019801980198019802
Norte,RO,3,1.0,24,0,0,361,25.0,Pública,0.06925207756232687
Norte,RO,3,1.0,20,0,0,200,21.0,Pública,0.105
Norte,RO,3,1.0,14,2,0,320,17.0,Pública,0.053125
Norte,RO,2,0.0,20,6,2,370,28.0,Pública,0.07567567567567568
Norte,RO,3,1.0,20,1,0,204,22.0,Pública,0.10784313725490197
Norte,RO,3,1.0,22,0,0,204,23.0,Pública,0.11274509803921569
Norte,RO,3,1.0,30,3,0,906,34.0,Pública,0.037527593818984545
Norte,RO,3,1.0,31,1,6,600,39.0,Pública,0.065
Norte,RO,2,0.0,32,0,0,544,32.0,Pública,0.058823529411764705
Norte,RO,3,1.0,17,4,0,482,22.0,Pública,0.04564315352697095
Norte,RO,4,0.0,12,2,6,645,20.0,Privada,0.031007751937984496
Norte,RO,3,1.0,0,1,0,302,2.0,Pública,0.006622516556291391
Norte,RO,3,1.0,12,0,0,451,13.0,Pública,0.028824833702882482
Norte,RO,3,1.0,29,3,3,493,36.0,Pública,0.07302231237322515
Norte,RO,3,1.0,24,2,0,234,27.0,Pública,0.11538461538461539
Norte,RO,2,1.0,60,15,0,461,76.0,Pública,0.1648590021691974
Norte,RO,2,1.0,32,60,0,1352,93.0,Pública,0.06878698224852071
Norte,RO,3,1.0,27,1,0,537,29.0,Pública,0.054003724394785846
Norte,RO,3,0.0,12,1,0,163,13.0,Pública,0.07975460122699386
Norte,RO,3,1.0,30,6,6,653,43.0,Pública,0.06584992343032159
Norte,RO,3,1.0,21,0,0,519,22.0,Pública,0.04238921001926782
Norte,RO,3,0.0,0,2,0,159,2.0,Pública,0.012578616352201259
Norte,RO,3,1.0,20,2,0,524,23.0,Pública,0.04389312977099236
