Nome da Variável,Descrição da Variável,Categoria
NU_ANO_CENSO,Ano do Censo,
NO_REGIAO,Nome da Região Geográfica,
CO_REGIAO,Código da Região Geográfica,
NO_UF,Nome da Unidade da Federação,
SG_UF,Sigla da Unidade da Federação,
CO_UF,Código da Unidade da Federação,
NO_MUNICIPIO,Nome do Município,
CO_MUNICIPIO,Código do Município,
NO_REGIAO_GEOG_INTERM,Nome da Região Geográfica Intermediária,
CO_REGIAO_GEOG_INTERM,Código da Região Geográfica Intermediária,
NO_REGIAO_GEOG_IMED,Nome da Região Geográfica Imediata,
CO_REGIAO_GEOG_IMED,Código da Região Geográfica Imediata,
NO_MESORREGIAO,Nome da Mesorregião,
CO_MESORREGIAO,Código da Mesorregião,
NO_MICRORREGIAO,Nome da Microrregião,
CO_MICRORREGIAO,Código da Microrregião,
NO_DISTRITO,Divisão Intramunicipal - Nome do Distrito,
CO_DISTRITO,Divisão Intramunicipal - Código do Distrito,
NO_ENTIDADE,Nome da Escola,
CO_ENTIDADE,Código da Escola,
TP_DEPENDENCIA,Dependência Administrativa,"1 - Federal
2 - Estadual
3 - Municipal
4 - Privada"
TP_CATEGORIA_ESCOLA_PRIVADA,Categoria da escola privada,"1 - Particular
2 - Comunitária
3 - Confessional
4 - Filantrópica
   - Não aplicável para escolas públicas"
TP_LOCALIZACAO,Localização,"1 - Urbana
2 - Rural"
TP_LOCALIZACAO_DIFERENCIADA,Localização diferenciada da escola,"0 - A escola não está em área de localização diferenciada
1 - Área de assentamento
2 - Terra indígena
3 - Comunidade quilombola
8 - Área onde se localizam povos e comunidades tradicionais"
DS_ENDERECO,Endereço,
NU_ENDERECO,Número,
DS_COMPLEMENTO,Complemento,
NO_BAIRRO,Bairro,
CO_CEP,CEP,
NU_DDD,DDD,
NU_TELEFONE,Telefone,
TP_SITUACAO_FUNCIONAMENTO,Situação de funcionamento,"1 - Em Atividade
2 - Paralisada
3 - Extinta (ano do Censo)
4 - Extinta em Anos Anteriores"
CO_ORGAO_REGIONAL,Código do Órgão Regional de Ensino,
DT_ANO_LETIVO_INICIO,Início do ano letivo,
DT_ANO_LETIVO_TERMINO,Término (previsão) do ano letivo,
IN_VINCULO_SECRETARIA_EDUCACAO,Órgão ao qual a escola pública está vinculada - Secretaria de Educação/Ministério da Educação,"0 - Não
1 - Sim
   - Não aplicável para escolas privadas"
IN_VINCULO_SEGURANCA_PUBLICA,Órgão ao qual a escola pública está vinculada - Secretaria de Segurança Pública/Forças Armadas/Militar,"0 - Não
1 - Sim
   - Não aplicável para escolas privadas"
IN_VINCULO_SECRETARIA_SAUDE,Órgão ao qual a escola pública está vinculada - Secretaria de Saúde/Ministério da Saúde,"0 - Não
1 - Sim
   - Não aplicável para escolas privadas"
IN_VINCULO_OUTRO_ORGAO,Órgão ao qual a escola pública está vinculada - Outro órgão da administração pública,"0 - Não
1 - Sim
   - Não aplicável para escolas privadas"
IN_PODER_PUBLICO_PARCERIA,"Parceria ou convênio com o poder público (parceria ou convênio firmado entre a Administração Pública e instituições privadas ou instituições públicas de ensino, autarquias e fundações da administração indireta e demais instituições de educação profissional técnica de nível médio dos serviços sociais autônomos que integram o sistema federal de ensino, para financiamento do atendimento educacional ou para a oferta do itinerário de formação técnica e profissional do ensino médio)","0 - Não
1 - Sim"
TP_PODER_PUBLICO_PARCERIA,Poder público responsável pela parceria ou convênio entre a Administração Pública e outras instituições,"1 - Municipal
2 - Estadual
3 - Estadual e Municipal
   - Não aplicável  para escolas sem parceria ou convênio com o poder público"
IN_CONVENIADA_PP,Conveniada com o poder público,"0 - Não
1 - Sim
   - Não aplicável para escolas públicas"
TP_CONVENIO_PODER_PUBLICO,Dependência do convênio com o poder público,"1 - Municipal
2 - Estadual
3 - Estadual e Municipal
   - Não aplicável para escolas públicas ou privadas não conveniadas"
IN_FORMA_CONT_TERMO_COLABORA,Forma de contratação entre a Administração Pública e outras instituições - Termo de colaboração (Lei nº 13.019/2014),"0 - Não
1 - Sim
   - Não aplicável para escolas sem parceria/convênio"
IN_FORMA_CONT_TERMO_FOMENTO,Forma de contratação entre a Administração Pública e outras instituições - Termo de fomento (Lei nº 13.019/2014),"0 - Não
1 - Sim
   - Não aplicável para escolas sem parceria/convênio"
IN_FORMA_CONT_ACORDO_COOP,Forma de contratação entre a Administração Pública e outras instituições - Acordo de cooperação (Lei nº 13.019/2014),"0 - Não
1 - Sim
   - Não aplicável para escolas sem parceria/convênio"
IN_FORMA_CONT_PRESTACAO_SERV,Forma de contratação entre a Administração Pública e outras instituições - Contrato de prestação de serviço,"0 - Não
1 - Sim
   - Não aplicável para escolas sem parceria/convênio"
IN_FORMA_CONT_COOP_TEC_FIN,Forma de contratação entre a Administração Pública e outras instituições - Termo de cooperação técnica e financeira,"0 - Não
1 - Sim
   - Não aplicável para escolas sem parceria/convênio"
IN_FORMA_CONT_CONSORCIO_PUB,Forma de contratação entre a Administração Pública e outras instituições - Contrato de consórcio público/Convênio de cooperação,"0 - Não
1 - Sim
   - Não aplicável para escolas sem parceria/convênio"
IN_FORMA_CONT_MU_TERMO_COLAB,Forma(s) de contratação da parceria ou convênio entre a escola e a Secretaria municipal de educação - Termo de colaboração (Lei nº 13.019/2014),"0 - Não
1 - Sim
   - Não aplicável para sem parceria/convênio"
IN_FORMA_CONT_MU_TERMO_FOMENTO,Forma(s) de contratação da parceria ou convênio entre a escola e a Secretaria municipal de educação - Termo de fomento (Lei nº 13.019/2014),"0 - Não
1 - Sim
   - Não aplicável para sem parceria/convênio"
